sentence,Ambiguous_word,index,sense
തി \V_VM_VNF ( മതി \V_VM_VNF ) ആവുവോളം \N_NN ഉറങ്ങ് \N_NN.,മതി,33,തികയുക
മതി \V_VM_VNF ( മതി \V_VM_VNF ) ഭ്രമം \N_NN വന്നു \V_VM_VF.,മതി,34,ബുദ്ധി
മതി \V_VM_VNF ( മതി \V_VM_VNF )ഇല്ലാത്ത \RP_NEG പോലെ \PSP പെരുമാറല്ലെ \RB.,മതി,34,ബുദ്ധി
പടം \N_NN ( പടം \N_NN ) കാണാന്‍ \V_VM_VNF വരുന്നോ \V_VM_VNF.,പടം,35,ചിത്രം
ആട് \N_NNP എന്ന \CC_CCS പടത്തില്‍ \N_NN ( പടത്തില്‍ \N_NN ) ജയസൂര്യ \N_NN ആണ് \V_VAUX നായകന്‍ \V_VM_VNF.,പടം,35,ചിത്രം
പാമ്പ് \N_NN പുറം \N_NST കുപ്പായം \N_NN ഊരി \V_VM_VNF മാറ്റുന്നു \V_VM_VF ഇതിനെ \DM_DMD പടം \N_NN ( പടം \N_NN ) പൊഴിക്കല്‍ \N_NN പറയുന്നു \V_VM_VF.,പടം,36,പാമ്പിന്‍റെ ഉറ
പാമ്പിന്റെ \N_NN പടം \N_NN ( പടം \N_NN ) വിഷം \N_NN ഇല്ല \RP_NEG.,പടം,36,പാമ്പിന്‍റെ ഉറ
ഓട്ട \N_NN പാത്രത്തില്‍ \N_NN ( പാത്രത്തില്‍ \N_NN ) ഞണ്ട് \N_NN വീണു \V_VM_VF.,പാത്രം,37,തളിക
ചെമ്പ് \N_NN പാത്രത്തില്‍ \N_NN ( പാത്രത്തില്‍ \N_NN ) വെള്ളം \N_NN കുടിച്ചു \V_VM_VF.,പാത്രം,37,തളിക
മനുഷ്യ \JJ പാത്രത്തില്‍ \N_NN ( പാത്രത്തില്‍ \N_NN )കുറെ \QT_QTF അസ്തികള്‍ \N_NN.,പാത്രം,38,ശരീരം
അലുമിനിയം \N_NN മനുഷ്യ \JJ പാത്രത്തില്‍ \N_NN ( പാത്രത്തില്‍ \N_NN ) കടന്നാൽ \CC_CCS വിഷം \N_NN.,പാത്രം,38, ശരീരം 
ജാതി \N_NN ( ജാതി \N_NN ) മരം \N_NN നല്ല \JJ മരുന്ന് \N_NN.,ജാതി,39,മരം
ജാതി \N_NN ( ജാതി \N_NN ) മരം \N_NN നല്ല \JJ വരുമാനം \N_NN കിട്ടുന്ന \V_VM_VNF ക്രഷി \N_NN.,ജാതി,39,മരം
ഒരു \QT_QTC ജാതി \N_NN ( ജാതി \N_NN ) ഒരു \QT_QTC മതം \N_NN.,ജാതി,40,മതം
ദെവത്തിന് \N_NN ജാതി \N_NN ( ജാതി \N_NN ) ഇല്ല \RP_NEG.,ജാതി,40,മതം
അക്ഷിയില്‍ \N_NN ( അക്ഷിയില്‍ \N_NN ) ഭയം \N_NN കണാം \V_VM_VNF.,അക്ഷി,41,കണ്ണ്
അക്ഷിയില്‍ \N_NN ( അക്ഷിയില്‍ \N_NN ) കരട് \N_NN വീണു \V_VM_VF.,അക്ഷി,41,കണ്ണ്
അക്ഷി \N_NNP ( അക്ഷി \N_NNP ) മരത്തില്‍ \N_NN കിളികള്‍ \N_NN .,അക്ഷി,42,താന്നിമരം
അക്ഷി \N_NNP ( അക്ഷി \N_NNP ) ശാഖ \N_NN താഴെ \N_NST വീണു \V_VM_VF.,അക്ഷി,42,താന്നിമരം
അമ്പലത്തിലെ \N_NN കമ്പം \N_NN ( കമ്പം \N_NN ) വെടികെട്ട് \V_VAUX.,കമ്പം,43,വെടിക്കെട്ട്
കമ്പം \N_NN ( കമ്പം \N_NN ) കണ്ടു \V_VM_VF നിന്നു \PSP.,കമ്പം,43,വെടിക്കെട്ട്
മാങ്ങയോട് \N_NN നല്ല \JJ കമ്പം \N_NN ( കമ്പം \N_NN ) തോന്നി \V_VM_VF.,കമ്പം,44,ഭ്രമം
ആനകളോട്  \N_NN നല്ല  \JJ കമ്പം  \N_NN ( കമ്പം \N_NN ) ആണ് \V_VAUX.,കമ്പം,44,ഭ്രമം
ചെസ്സിന്നാവുമ്പോൾ \V_VM_VNF എന്റെ \PR_PRP മ\ണ്ട V_VM_VNF (  മ\ണ്ട V_VM_VNF ) മാത്രം \RP_RPD മതിയല്ലോ \V_VM_VNF.,മണ്ട,45,തലയോട്
മണ്ട \V_VM_VNF ( മണ്ട \V_VM_VNF ) പൊട്ടി \V_VM_VNF ചോര \N_NN വന്നു \V_VM_VF.,മണ്ട,45,തലയോട്
മണ്ട \V_VM_VNF ( മണ്ട \V_VM_VNF ) കൊണ്ട് \PSP ഉണ്ടാകുന്ന \V_VM_VNF പലഹാരം \N_NN.,മണ്ട,46,കുഴച്ച അരിമാവ്
പ്രാണി \N_NN വീണു \V_VM_VNF മണ്ട \V_VM_VNF ( മണ്ട V_VM_VNF ) നാശമായി \RB.,മണ്ട,46,കുഴച്ച അരിമാവ്
അപ്പു \N_NN കടയില്‍ \N_NN ( കടയില്‍ \N_NN ) നിന്ന് \PSP പേന \N_NN വാങ്ങി \V_VM_VF.,കട,47,പീടിക
തനി \N_NNP നാടൻ \N_NN രുചിയുമായി \RB വാസുവേട്ടന്റെ \N_NN കട \N_NN ( കട \N_NN ).,കട,47,പീടിക
കട \N_NN ( കട \N_NN ) കൊണ്ട് \PSP കിണറ്റില്‍ \N_NN നിന്ന് \PSP വെള്ളം \N_NN കോരി \N_NN.,കട,48,വെള്ളം കോരി
കട \N_NN ( കട \N_NN ) കിണട്റ്റില്‍ \N_NN വീണു \V_VM_VF.,കട,48,വെള്ളം കോരി
കച്ച \JJ ( കച്ച \JJ ) അഴിഞ്ഞ് \V_VM_VNF താഴെ \N_NST വീണു \V_VM_VF.,കച്ച,49,ഉടുവസ്ത്രം
കച്ച \JJ ( കച്ച \JJ ) കെട്ടി \V_VM_VNF ഇറങ്ങിയിരിക്കാണ് \V_VAUX എല്ലാം \QT_QTF.,കച്ച,49,ഉടുവസ്ത്രം
കയ്‌പക്ക \N_NN നല്ല \JJ കച്ച \JJ ( കച്ച \JJ ) തന്നെ \RP_INTF.,കച്ച,50,കയ്പുരസമുള്ള
കച്ച \JJ ( കച്ച \JJ ) വിഷം \N_NN കൊടുത്തു \V_VM_VNF കൊന്നു \V_VM_VF.,കച്ച,50,കയ്പുരസമുള്ള
രസത്തില്‍ \N_NN ( രസം \N_NN ) എരിവ് \N_NN.,രസം,0,കറി
ദ്രാവകാവസ്ഥയിലാവുന്ന \V_VM_VNF മൂലകങ്ങളിൽ \N_NN ഒന്നാണ് \V_VAUX രസം \N_NN ( രസം \N_NN ).,രസം,1,മെര്‍കുറി
അത്ര \N_NN രസം \N_NN ( രസം ) \N_NN ഇല്ല \RP_NEG.,രസം,2,ഇഷ്ടം
ഉത്തരം \N_NN ( ഉത്തരം \N_NN ) കിട്ടിയോ \N_NN.,ഉത്തരം,3,മറുപടി
ഉത്തരത്തില്‍ \N_NN ( ഉത്തരത്തില്‍ \N_NN ) പൂച്ച \N_NNP.,ഉത്തരം,4,തടി
ഭയങ്കര \JJ ഭൂതി \N_NN ( ഭൂതി \N_NN ) ആണ് \V_VAUX.,ഭൂതി,5,ഐശ്വര്യം
ഭുതി \N_NN ( ഭൂതി \N_NN ) കടലില്‍ \N_NN ഒഴുക്കി \V_VM_VNF.,ഭൂതി,6,ഭസ്മം
അകം \N_NN ( അകം \N_NN ) പൊള്ളയായ \JJ പന്തുകൾ \N_NN.,അകം,7,ഉള്‍ഭാഗം
കേരളം \N_NNP എന്ന \CC_CCS അകം \N_NN ( അകം\N_NN ).,അകം,8,ദേശം
ജീവിതത്തില്‍ \N_NN അയവ് \N_NN ( അയവ്  \N_NN )വരുത്താൻ \V_VM_VNF സിനിമകൾ \N_NN ഉപകരിക്കുന്നു \V_VM_VF.,അയവ്,9,മുറുക്കമില്ലായ്മ
അയവ് \N_NN ( അയവ് \N_NN ) കഴിച്ചു \V_VM_VF.,അയവ്,10,തികട്ടിച്ചവയ്ക്കുന്ന ആഹാരം
നല്ലൊരു \JJ അടി \N_NN ( അടി \N_NN ) കൊടുത്തു \V_VM_VF.,അടി,11,വലിച്ചടിക്കുക
നൂറു \QT_QTC അടി \N_NN ( അടി \N_NN ) പാലം \N_NN കണ്ടു \V_VM_VF.,അടി,12,അളവ്
അട്ടത്ത് \N_NN ( അട്ടം \N_NN ) എന്താണ് \V_VAUX.,അട്ടം,13,തട്ട്
അട്ടം \N_NN ( അട്ടം \N_NN ) തിന്നു \V_VM_VF വിശപ്പ് \N_NN മാറി \V_VM_VF.,അട്ടം,14,ഭക്ഷണം
മരത്തില്‍ \N_NN ആണി \N_NN ( ആണി \N_NN ) തറച്ചു \V_VM_VF.,ആണി,15,സൂചി
ആണിയില്‍ \N_NN ( ആണിയില്‍ \N_NN ) പരല്‍ \N_NN മീന്‍ \N_NN ഉണ്ട് \V_VAUX.,ആണി,16,ഓട
ആറില്‍ \QT_QTC (ആറില്‍  \QT_QTC ) നിറയെ \QT_QTF മീന്‍ \N_NN ആണ് \V_VAUX.,ആറ്,17,നദി
ശശിക്ക് \N_NN ആറ് \QT_QTC ( ആറ് QT_QTC ) കുട്ടികള്‍ \N_NN ആണ് \V_VAUX.,ആറ്,18,നംമ്പര്‍
തുറമുഖത്ത് \N_NN ഉരു \JJ ( ഉരു \JJ ) നിര്മികുന്നു \V_VM_VF.,ഉരു,19,കപ്പല്‍
ഈ \DM_DMD പോത്തിന്റെ \N_NN ഉരു \JJ ( ഉരു \JJ ) കൊള്ളാം \V_VM_VNF.,ഉരു,51,ആകൃതി
അക്ഷരം \N_NN ( അക്ഷരം \N_NN ) എഴുതി \V_VM_VF.,അക്ഷരം,20,ലിപി 
അക്ഷരത്തില്‍ \N_NN ( അക്ഷരത്തില്‍ \N_NN ) പരുന്ത് \N_NN പരന്നു \V_VM_VNF.,അക്ഷരം,21,ആകാശം
സംസാരിച്ച് \V_VM_VNF കുരല്‍ \N_NN ( കുരല്‍ \N_NN ) തളര്‍ന്നു \V_VM_VF.,കുരല്‍,22,കഴുത്ത്
പനയുടെ \N_NN കുരല്‍ \N_NN ( കുരല്‍ \N_NN ).,കുരല്‍,23,കതിര്‍
പച്ച \JJ കോട്ട് \N_NN ( കോട്ട് \N_NN ) കീറി \V_VM_VF.,കോട്ട്,24,കട്ടി കുപ്പായം
പണിക്കാരന്‍ \N_NNP കോട്ട് \N_NNP ( കോട്ട് \N_NNP ) ആഞ്ഞു \RB വീശി \V_VM_VF.,കോട്ട്,25,കുഴികുന്ന ഉപകരണം
ഒട്ടിപ്പിടിക്കുന്ന \V_VM_VNF പശ \N_NN ( പശ \N_NN ),പശ,27,ഒട്ടിപ്പിടിക്കുന്നത്
രമേശന് \N_NN പശ \N_NN ( പശ \N_NN ) തോന്നി \V_VM_VF.,പശ,28,ദയ
കരി \N_NNP ( കരി \N_NNP ) ചിങ്ങം \N_NN വിളിച്ചു \V_VM_VF.,കരി,29,ആന
കരി \N_NNP ( കരി \N_NNP ) വാരി \RB എഴുതി \V_VM_VNF.,കരി,30,കൺമഷി
കഴിഞ്ഞ \JJ ആഴ്ചത്തെ \N_NN പത്രം \N_NN ( പത്രം \N_NN ).,പത്രം,31,കടലാസ്
പത്രം \N_NN ( പത്രം  \N_NN ) ചെടിയില്‍ \N_NN നിന്നു \PSP വീണു \V_VM_VF.,പത്രം,32,ഇല
ഉറങ്ങി \RB മതി \V_VM_VNF ( മതി \V_VM_VNF ) ആയി \V_VM_VF.,മതി,33,തികയുക
മതി \V_VM_VNF ( മതി \V_VM_VNF ) ഭ്രമിച്ചു \V_VM_VF.,മതി,34,ബുദ്ധി
ആട് \N_NNP പടം \N_NN ( പടം \N_NN ) കാണാന്‍ \V_VM_VNF വരുന്നോ \V_VM_VNF.,പടം,35,ചിത്രം
പാമ്പ് \N_NN പടം \N_NN ( പടം \N_NN )പൊഴിച്ചു \V_VM_VF.,പടം,36,പാമ്പിന്‍റെ ഉറ
ഓട്ട \N_NN പാത്രത്തില്‍ \N_NN ( പാത്രത്തില്‍ \N_NN ) ജ്യുസ് \N_NN കുടിച്ചു \V_VM_VF.,പാത്രം,37,തളിക
മനുഷ്യ \JJ പാത്രത്തില്‍ \N_NN ( പാത്രത്തില്‍ \N_NN ) ചുവന്ന \JJ ചോര \N_NN.,പാത്രം,38,ശരീരം
ജാതി \N_NN ( ജാതി \N_NN ) മരം \N_NN മുറിച്ചു \V_VM_VF.,ജാതി,39,മരം
ദയവ് \N_NN ഒരു \QT_QTC ജാതി \N_NN ( ജാതി \N_NN).,ജാതി,40,മതം
അക്ഷിയില്‍ \N_NN ( അക്ഷിയില്‍ \N_NN ) നിന്നെ \RB കണാം \V_VM_VNF.,അക്ഷി,41,കണ്ണ്
അക്ഷിയില്‍ \N_NN ( അക്ഷിയില്‍ \N_NN ) കിളികള്‍ \N_NN.,അക്ഷി,42,താന്നിമരം
കമ്പം \N_NN ( കമ്പം \N_NN ) പൊട്ടി \V_VM_VNF മരിച്ചു \V_VM_VF.,കമ്പം,43,വെടിക്കെട്ട്
യാത്രകളോട് \N_NN കമ്പം \N_NN ( കമ്പം \N_NN ) തോന്നി \V_VM_VF.,കമ്പം,44,ഭ്രമം
എന്റെ \PR_PRP മണ്ട \V_VM_VNF ( മണ്ട \V_VM_VNF ) വലുതാണ് \V_VAUX.,മണ്ട,45,തലയോട്
മണ്ട \V_VM_VNF ( മണ്ട \V_VM_VNF പലഹാരം \N_NN കഴിച്ചു \V_VM_VF.,മണ്ട,46,കുഴച്ച അരിമാവ്
കടയില്‍\N_NN ( കടയില്‍ \N_NN ) നിന്ന് \PSP കോഴി \N_NN വാങ്ങി \V_VM_VF.,കട,47,പീടിക
കട \N_NN ( കട \N_NN ) കിണറ്റില്‍ \N_NN വീണു \V_VM_VF.,കട,48,വെള്ളം കോരി
കച്ച \JJ ( കച്ച \JJ ) മാറ്റി \V_VM_VF.,കച്ച,49,ഉടുവസ്ത്രം
കച്ച \JJ ( കച്ച \JJ ) വിഷം \N_NN തിന്നു \V_VM_VF.,കച്ച,50,കയ്പുരസമുള്ള
ഒരു \QT_QTC കറിയാണ് \V_VAUX രസം \N_NN ( രസം \N_NN ).,രസം,0,കറി
